family	copies	bp
HERVIP10FH	446	395248
HERV16	1900	793806
HERV9N	226	408220
HERVK11	302	410320
HERVK3	391	434522
HERVI	99	185190
HERVL32	145	90412
HERV3	354	461080
HERVIP10F	330	499526
HERV15	146	224121
HERVP71A	255	286932
HERV4	349	240322
HERV	40	48085
HERVE	518	998769
HERVK9	751	1103273
HERVL40	1390	517453
HERVS71	207	453592
HERV9	370	899055
HERVL74	421	189155
HERV30	70	129867
HERVK13	74	90093
HERVFH19	120	125298
HERVK	299	603860
HERVK11D	43	85043
HERVKC4	50	85637
HERVIP10B3	260	398113
HERVL	2480	3928767
HERV9NC	260	700956
HERV35I	632	442055
HERV1	176	162003
HERV17	922	889183
HERVH	6161	5979506
HERVL66	191	151997
HERVFH21	119	153484
HERVL18	515	394030
HERVK14	443	292489
HERVK14C	87	131786
HERVH48	122	224183
HERVK22	477	613361
