## RunInfo	version:1.0.3	annotated_features:14968	total_fragments:37498273	pair_mapped:16431724	pair_mixed:16570027	single_mapped:0	unmapped:4496522	unique:16447034	ambig:16554717	overlap_unique:97254	overlap_ambig:931666
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	265172	218716.00	0.095	464960	0	189690	200748	200740.49	0.0816
HERVH_3q13.2	4954	86968	74203.00	0.0765	121917	5143	65681	69650	69711.82	0.0667
HERVH_4q34.3b	4093	54098	49343.00	0.0723	73369	9385	47991	49330	49348.85	0.0676
HERVH_20q12b	5708	48844	43965.00	0.0562	75988	3034	41459	42850	42866.95	0.0502
HERVH_6q22.1a	5929	48243	40306.00	0.0648	88635	6560	39627	41497	41504.02	0.0579
HERVH_3p14.3a	5721	45893	39025.00	0.0545	78924	3198	38908	41682	41627.77	0.051
HERVH_1q41h	5761	42455	34456.00	0.0475	90448	3106	33091	35072	35068.21	0.0407
HERVH_16q21d	5545	38190	33302.00	0.0581	67808	3186	32316	34058	34030.97	0.0528
HERVH_7q21.11	5716	37939	32188.00	0.0433	64052	3542	31697	32845	32876.01	0.0372
HERVH_13q14.3a	5141	37891	28323.00	0.0425	87398	5266	29512	31327	31375.30	0.0349
HERVH_Xq23g	5860	35977	28192.00	0.0373	75816	2655	25514	27666	27675.07	0.0302
HERVH_Xq21.31c	5678	27094	22703.00	0.0411	67282	1250	22840	24644	24622.75	0.0383
HERVH_9q22.33a	5521	22967	16504.00	0.0249	74482	2225	18582	19933	19925.76	0.0215
HERVH_12p12.3a	5220	17014	11957.00	0.024	71573	591	12199	13657	13638.79	0.0203
HERVH_13q14.11a	5155	15374	11075.00	0.0154	64175	620	12642	13930	13914.86	0.0137
HERVH_13q21.1a	5860	11025	8585.00	0.012	46130	1195	9332	10013	10012.00	0.0109
HERVH_5q23.2g	6369	8223	6259.00	0.0104	45864	1240	6710	7409	7397.21	0.00944
HERVH_19q13.42a	5945	7859	5983.00	0.0116	48230	892	6856	7568	7560.48	0.0109
HERVH_9q22.31b	5757	7809	5119.00	0.00801	49159	524	6398	7011	7007.49	0.00697
HERVH_12q14.1b	5799	7743	5496.00	0.0131	52249	516	6180	7182	7155.68	0.0122
